,date,tweet,hashtags
76,2021-03-11,APENAS VEJAM ESSE FILME!!!  #eumeimporto,#eumeimporto
77,2021-03-10,"""Pra ter sucesso nesse país, tem que ser corajosa e burra e cruel e focada, por que jogar limpo, ficar com medo, não te leva a nada, só faz você apanhar""  #EuMeImporto",#EuMeImporto
78,2021-03-10,"Tem um  corretor de imóveis me oferecendo um teste psicológico,  pego ou procuro um psicólogo que estudou anos e consegue identificar situações por conta de seu feeling?   #Psicologia  #EuMeimporto","#Psicologia, #EuMeimporto"
79,2021-03-10,nunca fiquei com tanto ódio de uma protagonista kkkkkkkkkkk #EuMeimporto,#EuMeimporto
81,2021-03-09,A Marla é doida #eumeimporto,#eumeimporto
83,2021-03-09,#EuMeimporto que filme ótimo! Original e com uma atuação medonha de @RosamundPike,#EuMeimporto
84,2021-03-09,"@jose_simao Sugestão para reflexão: assistam o filme #eumeimporto, tá disponível na Netflix",#eumeimporto
85,2021-03-08,Começando mais um filme ... #EuMeimporto,#EuMeimporto
86,2021-03-08,"Tá muito legal o filme de I Care A Lot (Eu Me Importo), mas as tentativas de assassinato de pilantras e sequestro de idosinhas eram pra ser tão bobinhos assim? Parece que até eu faço o serviço melhor do que aquela galera! #EuMeimporto",#EuMeimporto
87,2021-03-07,"Ansiedade não tratada, gera tristeza Tristeza não tratada, gera depressão Depressão não tratada, gera opressão Opressão não tratada, gera possessão  Possessão não tratada, gera morte  #EuMeimporto",#EuMeimporto
88,2021-03-07,"Quer perder 1h30min da sua vida assista #EuMeimporto da @NetflixBrasil o filme pra te deixar com a maior vergonha alheia possível, vc tem q se segurar pra não abandonar o filme a qualquer momento! Credo fico triste pelo Peter Dinklage.",#EuMeimporto
89,2021-03-07,#EuMeimporto da Netflix: 1h59min que nunca mais terei de volta,#EuMeimporto
90,2021-03-07,Dez minutos de filme e eu já estou com ódio #EuMeimporto,#EuMeimporto
91,2021-03-07,#EuMeimporto  Quase morri de ódio!!! Mas no final deu tudo certo 😁 @netflix,#EuMeimporto
92,2021-03-07,"#EuMeimporto, meu novo Hino!",#EuMeimporto
93,2021-03-07,Só eu que achei esse filme ruim? 🤔 #EuMeimporto,#EuMeimporto
95,2021-03-07,Esse filme #EuMeimporto da Netflix é bom demais !!,#EuMeimporto
96,2021-03-07,Esse filme é delicadamente perverso #EuMeImporto,#EuMeImporto
97,2021-03-07,Amar odiar Rosamund Pike e Peter Dinklage em #EuMeImporto e ver os dois pica se lascando o tempo todo. Um pior que o outro. Pena que só um tem o final digno.,#EuMeImporto
98,2021-03-07,Assistindo #EuMeimporto da dona @NetflixBrasil percebi que a #AmazingAmy deu aquela graduada...,"#EuMeimporto, #AmazingAmy"
99,2021-03-07,Mulher fdp essa do filme #EuMeimporto 🤬🤬🤬,#EuMeimporto
100,2021-03-07,"RISQUE da sua mente “Você é cordeiro ou leão?” - #eumeimporto (Filme Netflix) - 😞 PENSE: “Quanto você é capaz de servir, criar, melhorar a vida dos outros e o que você tem pra vender HOJE?”",#eumeimporto
101,2021-03-07,não assistam #EuMeImporto que não vale a pena. bjsss.,#EuMeImporto
102,2021-03-07,"#EuMeimporto da @netflix é cheio de tramas improváveis, mas vale a pena!",#EuMeimporto
103,2021-03-06,"Gostei, mas esperava mais.  #EuMeimporto #Netflix","#EuMeimporto, #Netflix"
104,2021-03-06,"Que filme tosco, fraco e com roteiro péssimo, cheio de incoerência. #EuMeimporto",#EuMeimporto
106,2021-03-06,Que mulher Rosamund Pike em #EuMeimporto,#EuMeimporto
