,date,tweet,hashtags
382,2020-03-18,"Voltei a assistir sessão de terapia, continuo encantada com a abordagem do Psicólogo e com ranço do Nando. #sessaodeterapia",#sessaodeterapia
383,2020-03-18,"Acabei de sair de uma sessão com psicólogo. Ele na casa dele e eu num ginásio se escondendo da chuva. Por recomendações do sindicato da categoria, ele vai atender por vídeo chamada. #coronavirusnobrasil #Psicologia #sessaodeterapia","#coronavirusnobrasil, #Psicologia, #sessaodeterapia"
384,2020-03-15,"Assistindo #sessaodeterapia o dia inteiro. Já sou quase uma psicóloga. Kkk série interminável! Tá tipo Greys anatomy, q não acaba nunca e fico achando q já sei tudo de medicina.",#sessaodeterapia
385,2020-03-13,"Sexta-feira é o dia do desabafo, de tirar coisas engasgadas e de esvaziar a mente e o coração de angústias. #sessaodeterapia",#sessaodeterapia
386,2020-03-12,O paciente: aqui no consultório quem manda é o paciente? Terapeuta: Não. O paciente nunca tem razão.  #sessaodeterapia @globoplay,#sessaodeterapia
388,2020-03-11,"A série Sessão de Terapia da @globoplay é excelente. Estimula a reflexão, aborda diversos temas e paradigmas da vida cotidiana. Estou na metade e a cada novo ep me faz pensar sobre algo novo. #sessaodeterapia",#sessaodeterapia
389,2020-03-11,"“Viver tentando adivinhar o que que os outros esperam de você, é muito natural que você se sinta exausta. O que VOCÊ quer? O que VOCÊ deseja?”   #Sessãodeterapia 😭😭😭😭😭",#Sessãodeterapia
390,2020-03-06,Sabe quem é a grande protagonista da série sessão de terapia ? A Melancolia... Que série foda ! #SessãoDeTerapia  @GloboPlay @canalgnt,#SessãoDeTerapia
391,2020-03-05,Acho que a gente vive muitas vidas em uma só #SessaoDeTerapia,#SessaoDeTerapia
393,2020-03-03,@docecamille Tem uma série chamada #SessaoDeTerapia onde uma senhora descobre o sexo com prazer aos 67 anos. Magistral!,#SessaoDeTerapia
394,2020-02-25,"“Terapia é processo de coragem, difícil que exige comprometimento e tempo pois é lento” (Caio) #SessãoDeTerapia @globoplay",#SessãoDeTerapia
396,2020-02-23,"A coisa mais impressionante que a série #SessãoDeTerapia faz é mostrar a importância da escuta, do comprometimento e do quanto exige da gente esse mergulho.",#SessãoDeTerapia
400,2020-02-16,"“O que resta a uma pessoa que não nasce bonita? Ser engraçada”  #sessaodeterapia (Não gostei da série, mas curti essa fala, muito real)",#sessaodeterapia
401,2020-02-13,"A série "" sessão de terapia"" aborda a depressão na velhice, o incômodo que os idosos não querem dar, o desespero.  Muito bem abordado. Que série linda #sessãodeterapia",#sessãodeterapia
403,2020-02-13,"Quê que é isso, esse ep 40 da #sessãodeterapia ??? Simplesmente o melhor episódio da temporada. Estou me sentindo afetada!",#sessãodeterapia
404,2020-02-12,"só consigo pensar como seria ter Selton Mello como terapeuta. Não ia elaborar nadinha, se ele desse aquele sorriso de canto de boca eu ia infartar. #sessãodeterapia",#sessãodeterapia
405,2020-02-11,NÃO SABIA QUE ESSE #sessãodeterapia era tão bom,#sessãodeterapia
406,2020-02-10,Esse ator que faz o falso Domênico fez a série #SessãoDeTerapia. Ele é muito bom! #AmorDeMãe,"#SessãoDeTerapia, #AmorDeMãe"
407,2020-02-08,Vejam a série Sessão de Terapia. É simplesmente GENIAL! #sessãodeterapia,#sessãodeterapia
409,2020-02-04,"Eu sempre me pergunto “caramba, oq é q o Selton Mello tá aprontando desse vez?” E cada filme/série é mais interessante do q o outro, vou ver #SessãoDeTerapia principalmente por causa do Selton e pq eu sei q se ele tá na série, vai ser boa, com certeza vai ser boa. Ele é o cara.",#SessãoDeTerapia
411,2020-02-01,"""Tentar controlar o incontrolável já é o início do descontrole"". De Terapia, Sessão.  Rs  #sessaodeterapia",#sessaodeterapia
412,2020-01-27,Até a Sofia sugeriu ao Caio fazer terapia via Skype! #sessaodeterapia,#sessaodeterapia
413,2020-01-26,"Alguém aí já viu a série Sessão de Terapia na Globoplay??Se não viram, recomendo!!  Show de interpretação dos atores e capítulos q nos fazem pensar sobre algumas questões importantes tratados de maneira mto delicada.  Adorei!! #SessãodeTerapia",#SessãodeTerapia
414,2020-01-26,"Dona @NETatende, pretendo curtir a insônia assistindo #sessaodeterapia na @globoplay. É possível melhorar esse sinal cagado de vcs?",#sessaodeterapia
415,2020-01-20,"num vou mentir que comecei assistindo #sessaodeterapia por todas as sessões da Chiara/Joana (@fabiunascimento) aí depois que fui para os demais personagens kk’... a Fabí nunca me decepciona, a série por inteira é maravilhosa e eu indico demais! deveria era ter visto antes!",#sessaodeterapia
418,2020-01-14,"Sempre gostei do trabalho de @fabiunascimento , mas depois de #BomSucesso, comecei a ver os trabalhos dela q eu não tinha visto. Desde então, ela ganhou +1 fã. Hoje assisti um EP de #SessãoDeTerapia e, QUE ATRIZ FANTÁSTICA. Qnd eu crescer qro ser assim KKK 👏👏👏👏","#BomSucesso, #SessãoDeTerapia"
419,2020-01-13,Tenho vontade de quebrar a TV em todo episódio de #Nando em #SessaoDeTerapia. Que babaca!,"#Nando, #SessaoDeTerapia"
420,2020-01-11,Enquanto revejo #SessãoDeTerapia não posso deixar de me perguntar: é errado shippar Chiara e Caio? 🤭😅,#SessãoDeTerapia
421,2020-01-11,Desejo: DORMIR! Obstaculo: #sessãodeterapia (seriado que ta na globo play),#sessãodeterapia
422,2020-01-10,#spoiler 30 episódios pra um casa ridículo que não se atura decidir ficar em lua de mel novamente e  dae a mulher louca  vai dar pro chefe porque não curte mais transar com o marido. Piores personagens da série #SessãoDeTerapia do @canalgnt,"#spoiler, #SessãoDeTerapia"
423,2020-01-10,"""Para que viver tanto meu filho?"" #SessaodeTerapia",#SessaodeTerapia
424,2020-01-09,Pegar @globoplay 7 dias grátis pra assistir #sessaodeterapia valeu super a pena,#sessaodeterapia
426,2020-01-07,não fiz absolutamente nada que eu precisava fazer em 15 dias pq estava ocupada tendo crises de ansiedade #sessaodeterapia,#sessaodeterapia
427,2020-01-05,"#SessaoDeTerapia que série inspiradora! De todos, a #Haidee é minha preferida. Que delicadeza a forma como abordou o caso dela e a forma como ela desabrochou! Quero a próxima! #4Temporada #SeltonMelo","#SessaoDeTerapia, #Haidee, #4Temporada, #SeltonMelo"
429,2020-01-02,Selton Mello não decepciona e o Theo aparece saudades saudades  #SessãodeTerapia,#SessãodeTerapia
432,2019-12-30,2020 está acabando e o que vc fez?  1. Vi várias mas não todas as #séries famosinhas do #Netflix e da #Hbo ! Voltei a assistir novela: mistérios causados por uma singela e despretenciosa assinatura no #globoplay para ver #sessãodeterapia 😂.,"#séries, #Netflix, #Hbo, #globoplay, #sessãodeterapia"
434,2019-12-26,#sessaodeterapia Amo demais!!!!,#sessaodeterapia
